date,exercise,variant,set1weight,set1reps,set2weight,set2reps,set3weight,set3reps,set4weight,set4reps,set5weight,set5reps,set6weight,set6reps
2017-01-26,squat,low bar,177.5,5,225,5,267.5,5,310,5,365,2,267.5,8
2017-01-26,bench,barbell,102.5,5,135,5,155,5,180,5,210,3,155,13
2017-01-26,row,barbell,105,5,135,5,157.5,5,185,5,215,3,157.5,10
2017-01-26,dips,body weight,196,7,196,7,196,7
2017-01-24,squat,low bar,177.5,5,225,5,267.5,5,267.5,5
2017-01-24,press,barbell,95,5,110,5,130,5,147.5,3,110,8
2017-01-24,deadlift,barbell,135,5,225,5,267.5,5,310,5,355,5
2017-01-24,pullup,medium grip chinup,196,5,196,5,196,5
2017-01-21,squat,low bar,177.5,5,225,5,267.5,5,310,5,355,5
2017-01-21,bench,barbell,102.5,5,127.5,5,155,5,180,5,205,5,155,13
2017-01-21,row,barbell,105,5,135,5,157.5,5,185,5,210,5,157.5,12
2017-01-21,tricep extension,cable,175,9,175,9,175,8
2017-01-18,squat,low bar,175,5,217.5,5,260,5,305,5,355,3,260,9
2017-01-18,bench,barbell,100,5,125,5,150,5,175,5,205,3,150,12
2017-01-18,row,barbell,102.5,5,127.5,5,155,5,180,5,210,4,155,10
2017-01-18,tricep extension,cable,170,10,170,10,170,10
2017-01-16,squat,low bar,175,5,217.5,5,260,5,260,5
2017-01-16,press,barbell,90,5,107.5,5,125,5,142.5,5
2017-01-16,deadlift,barbell,135,5,217.5,5,260,5,305,5,347.5,5
2017-01-16,pullup,medium overhand grip,195.8,4,195.8,4,195.8,4
2017-01-16,bicep curl,barbell,90,9,90,8
2017-01-14,squat,low bar,175,5,217.5,5,260,5,305,5,347.5,5
2017-01-14,bench,barbell,100,5,125,5,150,5,175,5,200,5,150,12
2017-01-14,row,barbell,102.5,5,127.5,5,155,5,180,5,205,5,155,10
2017-01-14,tricep extension,cable,170,10,170,10,170,9
2016-09-03,squat,low bar,135,5,170,5,202.5,5,202.5,5,,,,
2016-09-03,press,barbell,77.5,5,95,5,110,5,125,5,,
2016-09-03,deadlift,barbell,135,5,202.5,5,237.5,5,270,5,,,,
2016-09-05,squat,low bar,135,5,170,5,202.5,5,237.5,5,277.5,3,202.5,8
2016-09-05,bench,barbell,80,5,97.5,5,117.5,5,137.5,5,162.5,3,117.5,11
2016-09-05,row,barbell,77.5,5,97.5,5,117.5,5,135,5,160,3,117.5,10
2016-09-05,tricep extension,dumbbell,50,9,60,8,,,,,,,,
2016-09-08,squat,low bar,140,5,172.5,5,207.5,5,242.5,5,277.5,5,,
2016-09-08,bench,barbell,82.5,5,102.5,5,122.5,5,142.5,5,162.5,5,,
2016-09-08,row,barbell,80,5,100,5,120,5,140,5,160,5,,
2016-09-08,tricep extension,dumbbell,60,9,65,8,,,,,,,,
2016-09-10,squat,low bar,140,5,172.5,5,207.5,5,207.5,5,,,,
