date,exercise,variant,set1weight,set1reps,set2weight,set2reps,set3weight,set3reps,set4weight,set4reps,set5weight,set5reps,set6weight,set6reps
2016-03-15,squat,high bar,115,5,115,5,115,5,115,5,115,5,,
2016-03-17,squat,high bar,125,5,125,5,125,5,125,5,125,5,,
2016-03-19,squat,high bar,135,5,135,5,135,5,135,5,135,5,,
2016-03-21,squat,high bar,140,5,140,5,140,5,140,5,140,5,,
2016-03-23,squat,high bar,145,5,145,5,145,5,145,5,145,5,,
2016-03-26,squat,high bar,145,5,145,5,145,5,145,5,145,5,,
2016-03-28,squat,high bar,150,5,150,5,150,5,150,5,150,5,,
2016-03-30,squat,high bar,155,5,155,5,155,5,155,5,155,5,,
2016-04-02,squat,high bar,160,5,160,5,160,5,160,5,160,5,,
2016-04-04,squat,high bar,165,5,165,5,165,5,165,5,165,5,,
2016-04-06,squat,high bar,170,5,170,5,170,5,170,5,170,5,,
2016-04-09,squat,high bar,175,5,175,5,175,5,175,5,175,5,,
2016-04-11,squat,high bar,180,5,180,5,180,5,180,5,180,5,,
2016-04-13,squat,high bar,185,5,185,5,185,5,185,5,185,5,,
2016-04-16,squat,high bar,190,5,190,5,190,5,190,5,190,5,,
2016-04-18,squat,high bar,195,5,195,5,195,5,195,5,195,5,,
2016-04-20,squat,high bar,200,5,200,5,200,5,200,5,200,5,,
2016-04-24,squat,high bar,205,5,205,5,205,5,205,5,205,5,,
2016-04-26,squat,high bar,210,5,210,5,210,5,210,5,210,5,,
2016-04-28,squat,high bar,215,5,215,5,215,5,215,5,215,5,,
2016-05-01,squat,high bar,220,5,220,5,220,5,220,5,220,5,,
2016-05-03,squat,high bar,225,5,225,5,225,5,225,5,225,5,,
2016-05-06,squat,high bar,230,5,230,5,230,5,230,5,230,5,,
2016-05-08,squat,high bar,235,5,235,5,235,5,235,5,235,5,,
2016-05-10,squat,high bar,240,5,240,5,240,5,240,5,240,5,,
2016-05-13,squat,high bar,245,5,245,5,245,5,245,5,245,5,,
2016-05-15,squat,high bar,250,5,250,5,250,5,250,5,250,5,,
2016-05-17,squat,high bar,255,5,255,5,255,4,,,,,,
2016-05-21,squat,high bar,255,5,255,5,255,5,,,,,,
2016-05-23,squat,high bar,260,5,260,5,260,5,,,,,,
2016-05-25,squat,high bar,265,5,265,5,265,5,,,,,,
2016-05-29,squat,high bar,270,5,270,5,270,4,,,,,,
2016-05-31,squat,high bar,270,3,270,3,270,1,,,,,,
2016-06-02,squat,high bar,270,,,,,,,,,,,
2016-06-04,squat,low bar,225,5,225,5,225,5,225,5,225,5,,
2016-06-08,squat,low bar,230,5,230,5,230,5,230,5,230,5,,
2016-06-10,squat,low bar,235,5,235,5,235,5,,,,,,
2016-06-12,squat,low bar,240,5,240,5,240,5,,,,,,
2016-06-15,squat,low bar,245,5,245,5,245,5,,,,,,
2016-06-17,squat,low bar,250,5,250,5,250,5,,,,,,
2016-06-19,squat,low bar,255,5,255,5,255,5,,,,,,
2016-06-22,squat,low bar,255,5,255,5,255,5,,,,,,
2016-06-24,squat,low bar,260,5,260,5,260,5,,,,,,
2016-06-26,squat,low bar,265,5,265,5,265,5,,,,,,
2016-06-29,squat,low bar,270,5,270,5,270,5,,,,,,
2016-07-01,squat,low bar,275,5,275,4,275,3,,,,,,
2016-07-06,squat,low bar,275,5,275,5,275,5,,,,,,
2016-07-08,squat,low bar,280,5,280,5,280,5,,,,,,
2016-07-10,squat,low bar,285,5,285,5,285,5,,,,,,
2016-07-13,squat,low bar,290,5,290,3,290,3,,,,,,
2016-07-15,squat,low bar,290,5,290,4,290,3,,,,,,
2016-07-17,squat,low bar,290,5,290,4,290,3,,,,,,
2016-07-20,squat,low bar,260,5,260,5,260,5,,,,,,
2016-07-22,squat,low bar,265,5,265,5,265,5,,,,,,
2016-07-24,squat,low bar,270,5,270,5,270,5,,,,,,
2016-07-27,squat,low bar,275,5,275,5,275,5,,,,,,
2016-07-29,squat,low bar,280,5,280,5,280,5,,,,,,
2016-07-31,squat,low bar,285,5,285,5,285,5,,,,,,
2016-08-03,squat,low bar,290,5,290,3,290,3,,,,,,
2016-08-06,squat,low bar,290,4,290,2,290,2,,,,,,
2016-08-13,squat,low bar,290,3,290,3,290,3,,,,,,
2016-08-15,squat,low bar,295,3,295,3,295,3,,,,,,
2016-08-17,squat,low bar,300,3,300,3,300,3,,,,,,
2016-08-20,squat,low bar,305,3,305,3,305,3,,,,,,
2016-08-22,squat,low bar,310,2,310,2,310,1,,,,,,
2016-08-24,squat,low bar,310,3,310,2,310,1,,,,,,
2016-09-01,squat,low bar,310,1,,,,,,,,,,
2016-03-15,bench,barbell,75,5,75,5,75,5,75,5,75,5,,
2016-03-17,press,barbell,45,5,45,5,45,5,45,5,45,5,,
2016-03-19,bench,barbell,80,5,80,5,80,5,80,5,80,5,,
2016-03-21,press,barbell,50,5,50,5,50,5,50,5,50,5,,
2016-03-23,bench,barbell,85,5,85,5,85,5,85,5,85,5,,
2016-03-26,press,barbell,55,5,55,5,55,5,55,5,55,5,,
2016-03-28,bench,barbell,90,5,90,5,90,5,90,5,90,5,,
2016-03-30,press,barbell,65,5,65,5,65,5,65,5,65,5,,
2016-04-02,bench,barbell,95,5,95,5,95,5,95,5,95,5,,
2016-04-04,press,barbell,70,5,70,5,70,5,70,5,70,5,,
2016-04-06,bench,barbell,100,5,100,5,100,5,100,5,100,5,,
2016-04-09,press,barbell,75,5,75,5,75,5,75,5,75,5,,
2016-04-11,bench,barbell,105,5,105,5,105,5,105,5,105,5,,
2016-04-13,press,barbell,80,5,80,5,80,5,80,5,80,5,,
2016-04-16,bench,barbell,110,5,110,5,110,5,110,5,110,5,,
2016-04-18,press,barbell,85,5,85,5,85,5,85,5,85,5,,
2016-04-20,bench,barbell,115,5,115,5,115,5,115,5,115,5,,
2016-04-24,press,barbell,90,5,90,5,90,5,90,4,90,5,,
2016-04-26,bench,barbell,120,5,120,5,120,5,120,5,120,5,,
2016-04-28,press,barbell,90,5,90,5,90,5,90,5,90,5,,
2016-05-01,bench,barbell,125,5,125,5,125,5,125,5,125,5,,
2016-05-03,press,barbell,95,5,95,5,95,5,95,5,95,5,,
2016-05-06,bench,barbell,130,5,130,5,130,5,130,5,130,5,,
2016-05-08,press,barbell,100,5,100,5,100,5,100,4,100,4,,
2016-05-10,bench,barbell,135,5,135,5,135,5,135,5,135,5,,
2016-05-13,press,barbell,100,5,100,5,100,5,100,5,100,4,,
2016-05-15,bench,barbell,140,5,140,5,140,5,140,5,140,5,,
2016-05-17,press,barbell,100,5,100,5,100,5,100,4,100,5,,
2016-05-21,bench,barbell,145,5,145,5,145,5,145,5,145,5,,
